# simulator=gym_pybullet,# scenario=sine
t,alpha_err,q_ref0,q_ref1,q_ref2,q_ref3,q_m0,q_m1,q_m2,q_m3,phi_ref,theta_ref,psi_ref,phi,theta,psi,p,q,r,tau_x,tau_y,tau_z,sat_x,sat_y,sat_z,thrust,desat,x,y,z
0.0,0.36957427658097164,0.9689124217106447,0.0,0.0,0.24740395925452294,0.9907056688268466,0.04439854170536255,0.08852706320555538,0.09324165554615176,0.0,0.0,0.5,0.10617042113476999,0.1679169281993711,0.1966232144503393,0.06265404784005449,0.08255111545554436,0.021327155153435973,0.17171086115846385,1.6049824621870172,-3.180538753496352,0.0,0.0,0.0,1.9620000000000002,0.1171285572860428,0.0,0.0,0.5
0.001,0.642109844459037,0.9689124075418573,0.00018037711604534446,0.0003040790093443542,0.24740376212073714,0.9947166261132907,-0.008305660638638182,-0.08282795831417664,-0.06007810796498304,0.0004999999166666707,0.000499999916666671,0.4999997500000209,-0.006663515204865083,-0.16654755589683065,-0.12009167541833578,-0.06869201516141718,0.3608771043653586,-0.09830966739346327,0.5197040254905563,-3.0954988958865823,-4.0,0.0,0.0,1.0,1.9620000000000002,0.05756288933953639,1.0820164266593515e-10,-1.1548676528672129e-11,0.5000000052083304
0.002,0.5477487855881807,0.96891236503545,0.00036075423467840173,0.0006081575033073996,0.2474031707198684,0.9956546762879143,0.06171706132809752,-0.06928576878373852,-0.007890004504344576,0.0009999993333334668,0.0009999993333334668,0.4999990000003334,0.1255004342091536,-0.13742768022223442,-0.02449706120365549,0.03654821861893645,-0.000377788892620615,-0.0993623578985188,1.38532628014659,-1.047799043329889,-4.0,0.0,0.0,1.0,1.9620000000000002,0.08552848622111373,1.6018511818489312e-09,-1.987401901744033e-10,0.5000000204165254
0.003,0.5586356098025279,0.9689122941912909,0.0005411313584860274,0.0009122349665094142,0.24740218505338255,0.9984960086918195,-0.03697270925303246,-0.03191160141019541,-0.02490761113461223,0.0014999977500010126,0.0014999977500010123,0.49999775000168745,-0.07246372566258355,-0.06561609157411634,-0.047500625732265316,0.23531045767521264,-0.023660760827221322,0.09114107728725525,-1.5110688651573265,-0.7246380901673741,-4.0,0.0,0.0,1.0,1.9620000000000002,0.09308085981822135,5.83245764219634e-09,-1.1367628402073474e-09,0.5000000456242986
0.004,0.4669468622951493,0.9689121950091591,0.0007215084900533638,0.0012163108835738518,0.24740080512372298,0.9986850768426236,-0.02916385514939987,-0.036323443211316676,0.021405474018157032,0.001999994666670934,0.0019999946666709335,0.49999600000533345,-0.05999465072990542,-0.0713633860836417,0.045003014095226855,-0.03060169651445155,-0.182769222067275,-0.016943493436058776,-0.27689901120627036,-0.14171399365299464,-4.0,0.0,0.0,1.0,1.96196805585936,0.49711340808772125,1.2371862708843212e-08,-4.34410573814458e-09,0.500000080831493
0.005,0.6986555410298759,0.9689120674887458,0.0009018856319629824,0.0015203847391289267,0.24739903093431,0.9927388691134681,0.00275792348654631,-0.08026873979399737,-0.08954809334228411,0.0024999895833463545,0.002499989583346353,0.49999375001302093,0.02010837037000826,-0.15955397461953996,-0.18152686797670836,-0.1967951317543053,-0.32218455646546695,-0.07552164120466029,1.2171627132131868,-0.28165429250494745,-4.0,0.0,0.0,1.0,1.96196805585936,0.13884159088235334,1.953736131411536e-08,-1.1166714237884826e-08,0.5000001259547678
0.006,0.6566648356630856,0.9689119116296538,0.0010822627867940276,0.001824456017809204,0.24739686248954146,0.9963549560027487,0.03156118046969942,0.021485244749147255,-0.07628288008583035,0.0029999820000324,0.002999982000032399,0.4999910000269999,0.05971758571939092,0.04764704199238884,-0.15140238580587423,0.03649992035337585,-0.3725676278216016,-0.12309465026700056,0.3349428967960576,2.0280744895550105,-4.0,0.0,0.0,1.0,1.96196805585936,0.08806458163084982,2.4604351276654092e-08,-2.120672690213953e-08,0.5000001809174734
0.007,0.6563873801519444,0.9689117274313975,0.0012626399571213595,0.002128524204257185,0.24739429979479235,0.9948789484013301,-0.053749695988160824,0.04901731139279884,-0.07017229790213121,0.0034999714167366957,0.003499971416736695,0.49998775005002094,-0.11454220743307626,0.09011100368328853,-0.1460036617969133,0.04797833099945489,-0.15504103781476325,-0.11723038733117941,-1.504130355316811,1.2635053088130836,-4.0,0.0,0.0,1.0,1.96196805585936,0.07518985978266549,2.4134513771648733e-08,-3.415989878468253e-08,0.5000002457183597
0.008,0.35711537188014003,0.9689115148934033,0.001443017145514698,0.002432588783124895,0.2473913428564148,0.992668167025362,-0.05964489443705991,0.054458692450087776,0.08992578917489034,0.003999957333469867,0.003999957333469868,0.4999840000853333,-0.10961540018677154,0.11912761373895647,0.1741433925108079,-0.05709601778826064,-0.03668204151704825,-0.1291356400316153,-1.2211543048242437,0.8560382814190086,-2.6479314779872647,0.0,0.0,0.0,1.9619371072489291,0.10018081919690437,1.562369907793117e-08,-5.095540509200196e-08,0.5000003203554482
0.009,0.3954625062576351,0.9689112740150093,0.0016233943545377635,0.002736649239075468,0.24738799168173817,0.9969193862337774,0.039349295954045065,-0.03335990251193177,0.05908034498531257,0.004499939250246037,0.004499939250246037,0.49997975013668705,0.07477338108995386,-0.0712240099955356,0.11572215944400582,-0.13815848985171694,0.12821019939169775,-0.12618718183020286,1.4510760521500683,-1.0210882320059973,-3.286133552643916,0.0,0.0,0.0,1.9619371072489291,0.08417517244029911,-1.5037891965924239e-09,-7.200879853013737e-08,0.5000004047475083
