# simulator=mujoco,# scenario=flip
t,alpha_err,q_ref0,q_ref1,q_ref2,q_ref3,q_m0,q_m1,q_m2,q_m3,phi_ref,theta_ref,psi_ref,phi,theta,psi,p,q,r,tau_x,tau_y,tau_z,sat_x,sat_y,sat_z,thrust,desat,x,y,z
0.0,0.28872136915409985,1.0,0.0,0.0,0.0,0.9895980798874126,-0.08894530618291764,0.07026167137784042,-0.08858707764886167,0.0,0.0,0.0,-0.19109916093953813,0.12361741865754529,-0.1904231686302032,-0.03763370959790291,-0.015334710205484867,0.06554051876408837,-1.6283712852667411,1.466572268378748,-2.033903628033587,0.0,0.0,0.0,4.316400000000001,0.11938556262391267,0.0,0.0,0.50000002943
0.001,0.21866096355872905,0.9999987662997035,0.001570795680830879,0.0,0.0,0.994046248938217,-0.009962359918162246,0.09559148956860732,-0.05133296678330744,0.0031415926535897937,0.0,0.0,-0.03016842629664218,0.19016602364013718,-0.10606657809570036,-0.2775350714198579,0.2208087608809629,0.05768574068568086,0.8796644620399485,1.0302050612734635,-1.2543979378401744,0.0,0.0,0.0,4.316400000000001,0.19346430367672002,3.2118696031270747e-10,3.5778440157292574e-10,0.5000067983299774
0.002,0.15730061152920996,0.9999950652018582,0.0031415874858795635,0.0,0.0,0.9968827343369182,0.00981791082660092,0.07565678307343181,0.02011153357976323,0.006283185307179587,0.0,0.0,0.022880153048931255,0.1510203783217256,0.042074423381624905,-0.11306845059844353,0.5142346775287012,0.03952413452601053,0.5859951634759852,-0.5450741585095398,0.24888579662255972,0.0,0.0,0.0,4.316400000000001,0.32667456384777366,4.517400387046706e-09,4.3221938106967336e-09,0.5000253392290545
0.003,0.2778147575033224,0.999988896715596,0.004712371539373423,0.0,0.0,0.990363902259461,0.003176090115702519,-0.1001146502623732,-0.09563634432490793,0.00942477796076938,0.0,0.0,0.025955275413621654,-0.19900327164031265,-0.19512803992387381,0.28045100632913134,0.3219860418045499,-0.04517695919092585,-1.1516221816357177,-3.2812014606944384,-1.7414333607552617,0.0,0.0,0.0,4.316400000000001,0.08335354781833632,2.1535981903358387e-08,1.4741779648494681e-08,0.5000556521229175
0.004,0.26894441085067755,0.9999802608561371,0.006283143965558951,0.0,0.0,0.9916198892708304,-0.0999637006057065,-0.00399465647490269,0.08173919796135883,0.012566370614359173,0.0,0.0,-0.2002476905420839,0.008419643281167897,0.16364222376229615,0.1329423056174831,-0.04342840027545625,0.012051860210608053,-2.655613581094721,0.08355046565733722,1.586042269114493,0.0,0.0,0.0,4.316400000000001,0.13489209522859358,5.984647403234798e-08,2.938416764595575e-08,0.5000977370056725
0.005,0.15521251065707728,0.9999691576447897,0.007853900888711334,0.0,0.0,0.9963550037436273,0.08478230770439252,-0.005705053748815665,0.007491273394926423,0.015707963267948967,0.0,0.0,0.1696877228444464,-0.012639109098088762,0.013962128999255178,-0.5106720995533259,-0.07522352367170641,0.06206489095803297,3.5817767855926776,0.18561982448091682,-0.09933485543806331,0.0,0.0,0.0,4.316400000000001,0.09807610285926348,1.2113924907142128e-07,4.5470218166992274e-08,0.5001515938761135
0.006,0.15389821727389186,0.9999555871089498,0.009424638433144006,0.0,0.0,0.9966408755356442,0.047138790886666455,-0.06694411165876778,-0.0018399781265781708,0.018849555921538756,0.0,0.0,0.09519882243622073,-0.13366264825790014,-0.01006890258500127,0.06477932060337317,-0.025355409374492655,-0.08310321525085003,0.49575706592784824,-1.237054309475276,0.28299645189455996,0.0,0.0,0.0,4.316400000000001,0.2132324283450986,2.0334152513619765e-07,6.662687899100528e-08,0.5002172227356606
0.007,0.18246246383719972,0.9999395492821014,0.010995352723218221,0.0,0.0,0.9962778486150723,-0.0342241045120351,-0.054047153067790156,0.057775983544541665,0.02199114857512855,0.0,0.0,-0.07491253168063405,-0.10392426724166072,0.11975185820052905,0.3014184988114781,-0.5249808127851896,-0.08605870812146033,-2.109203235169905,1.0063401872089601,1.4877993011497008,0.0,0.0,0.0,4.316400000000001,0.11859618928343937,3.040738128332265e-07,9.561532592126742e-08,0.5002946235857654
0.008,0.21270998357318377,0.9999210442038161,0.012566039883352607,0.0,0.0,0.9952709544967447,-0.0670644928966097,-0.07007588636492602,0.005239377618496808,0.025132741228718343,0.0,0.0,-0.13595918401358092,-0.13923568418539783,0.020023513676550943,-0.1629383635090379,-0.40891834139873606,0.0378789475208267,-0.9395627914663662,0.23294953168208887,-0.06434803895645708,0.0,0.0,0.0,4.316400000000001,0.31512809728860824,4.170784100423968e-07,1.294172639233462e-07,0.5003837964315039
0.009000000000000001,0.2076293533381404,0.9999000719197535,0.014136696038032736,0.0,0.0,0.9956166955964213,-0.06374269162629947,0.04162017709542638,0.05433254616197116,0.02827433388230814,0.0,0.0,-0.12321199338805844,0.0899232322173627,0.1034847929068562,-0.543242806566175,-0.13424293249811747,0.10202414297483132,0.6167501755140461,1.3539304376117807,0.6902132002523833,0.0,0.0,0.0,4.316400000000001,0.18749439913307078,5.3448546455048e-07,1.6788882822390746e-07,0.500484741276047
