# simulator=mujoco,# scenario=sine
t,alpha_err,q_ref0,q_ref1,q_ref2,q_ref3,q_m0,q_m1,q_m2,q_m3,phi_ref,theta_ref,psi_ref,phi,theta,psi,p,q,r,tau_x,tau_y,tau_z,sat_x,sat_y,sat_z,thrust,desat,x,y,z
0.0,0.36957427658097164,0.9689124217106447,0.0,0.0,0.24740395925452294,0.9907056688268466,0.04439854170536255,0.08852706320555538,0.09324165554615176,0.0,0.0,0.5,0.10617042113476999,0.1679169281993711,0.1966232144503393,0.06265404784005449,0.08255111545554436,0.021327155153435973,0.17171086115846385,1.6049824621870172,-3.180538753496352,0.0,0.0,0.0,1.9620000000000002,0.1171285572860428,0.0,0.0,0.5
0.001,0.6421125408607451,0.9689124075418573,0.00018037711604534446,0.0003040790093443542,0.24740376212073714,0.9947165038439065,-0.008305720892315422,-0.08282852117536846,-0.060079348040034994,0.0004999999166666707,0.000499999916666671,0.4999997500000209,-0.006663359085176372,-0.16654869907437955,-0.12009418366921852,-0.070219883512749,0.3463968225843551,-0.09328288493890713,0.5258171092641784,-3.037588968948932,-4.0,0.0,0.0,1.0,1.9620000000000002,0.05839961013019166,1.5705998216839335e-10,-1.6759918514213988e-11,0.4999999999999948
0.002,0.5477519890712227,0.96891236503545,0.00036075423467840173,0.0006081575033073996,0.2474031707198684,0.995654667889302,0.06171660391658887,-0.06928610140709206,-0.007891721171741257,0.0009999993333334668,0.0009999993333334668,0.4999990000003334,0.12549976178008465,-0.1374281410837788,-0.024500492073403393,0.03542189203320956,0.014501354812521194,-0.10164384711430359,1.3898243476781251,-1.1073243146211562,-4.0,0.0,0.0,1.0,1.9620000000000002,0.08333565752212317,1.8840057822137692e-09,-2.4206004475946263e-10,0.49999999999982575
0.003,0.5586236614934149,0.9689122941912909,0.0005411313584860274,0.0009122349665094142,0.24740218505338255,0.9984961579564801,-0.03697313986091181,-0.03191117097737786,-0.024901538944929646,0.0014999977500010126,0.0014999977500010123,0.49999775000168745,-0.07246500563226502,-0.06561481120938192,-0.04748846756806152,0.22356404132620544,-0.019403097003308584,0.06639121693458731,-1.4640935648172155,-0.741662603536989,-4.0,0.0,0.0,1.0,1.9620000000000002,0.09434475518591572,6.3835511755624835e-09,-1.3193545978966743e-09,0.49999999999921574
0.004,0.46691909714945434,0.9689121950091591,0.0007215084900533638,0.0012163108835738518,0.24740080512372298,0.9986849058440038,-0.029163392047299123,-0.0363204782542669,0.021419109762786548,0.001999994666670934,0.0019999946666709335,0.49999600000533345,-0.05999455015550965,-0.07135665892118843,0.045030110578055484,-0.018991740899343648,-0.18411444313000566,-0.025869954794423902,-0.32334419604283743,-0.1362735549109172,-4.0,0.0,0.0,1.0,1.9620001514058594,0.4527708978393133,1.3071057010471132e-08,-4.84282275248942e-09,0.49999999999801265
0.005,0.6986261630009006,0.9689120674887458,0.0009018856319629824,0.0015203847391289267,0.24739903093431,0.9927403994477972,0.0027619982612908326,-0.08026561785058549,-0.08953379954462073,0.0024999895833463545,0.002499989583346353,0.49999375001302093,0.020113662370717208,-0.15954728596503076,-0.18149838327266635,-0.19806740725823463,-0.3106526107265333,-0.06656694107438066,1.2223157369195605,-0.3277017201426591,-4.0,0.0,0.0,1.0,1.9620001514058594,0.1342575471095897,2.0119672937716733e-08,-1.2000344880291154e-08,0.4999999999965132
0.006,0.6566429849436255,0.9689119116296538,0.0010822627867940276,0.001824456017809204,0.24739686248954146,0.9963554832834022,0.03157252999696789,0.02148711647387676,-0.07627076836066708,0.0029999820000324,0.002999982000032399,0.4999910000269999,0.05974055066577191,0.04765176657241854,-0.1513774459011931,0.004010518288716465,-0.3699497647016237,-0.12472364716322044,0.46511160825449305,2.0176951831501566,-4.0,0.0,0.0,1.0,1.9620001514058594,0.08381705031686489,2.4714326112188128e-08,-2.2206663918072363e-08,0.4999999999948901
0.007,0.6563624299645638,0.9689117274313975,0.0012626399571213595,0.002128524204257185,0.24739429979479235,0.9948803285103799,-0.053733335965088246,0.049022581452314175,-0.07016157820982015,0.0034999714167366957,0.003499971416736695,0.49998775005002094,-0.11450928880763983,0.09012513051438968,-0.14598134634136817,0.03970829775279938,-0.18351070216453255,-0.1120325083734917,-1.4707588481286669,1.3775667087364405,-4.0,0.0,0.0,1.0,1.9620001514058594,0.07306100991884362,2.342222966050361e-08,-3.5146624102571616e-08,0.4999999999917781
0.008,0.3570810642016288,0.9689115148934033,0.001443017145514698,0.002432588783124895,0.2473913428564148,0.9926672756214512,-0.059626450508137085,0.05446938635735013,0.0899413823550656,0.003999957333469867,0.003999957333469868,0.4999840000853333,-0.10957478219915397,0.11914743046595179,0.1741760536868985,-0.04539934275330437,-0.05114949239310695,-0.147937932731833,-1.2676357215012386,0.914206164631689,-2.572416317137733,0.0,0.0,0.0,1.9620009851351248,0.09537887759657827,1.3847206982944775e-08,-5.167625780097654e-08,0.4999999999852551
0.009000000000000001,0.3954044507505729,0.9689112740150093,0.001623394354537764,0.0027366492390754685,0.24738799168173817,0.996917369108126,0.03936534934505928,-0.033346857417199616,0.059111044161567816,0.004499939250246038,0.004499939250246038,0.49997975013668705,0.07480477487800959,-0.07120212402589894,0.11578347094778785,-0.12319365814120667,0.11702258936157812,-0.16702577032041344,1.391465013292437,-0.9760064591092144,-3.1221747779736058,0.0,0.0,0.0,1.9620009851351248,0.08790037498591438,-4.532096608090328e-09,-7.206860581637911e-08,0.49999999997715916
