# simulator=mujoco,# scenario=step
t,alpha_err,q_ref0,q_ref1,q_ref2,q_ref3,q_m0,q_m1,q_m2,q_m3,phi_ref,theta_ref,psi_ref,phi,theta,psi,p,q,r,tau_x,tau_y,tau_z,sat_x,sat_y,sat_z,thrust,desat,x,y,z
0.0,0.28872136915409985,1.0,0.0,0.0,0.0,0.9895980798874126,-0.08894530618291764,0.07026167137784042,-0.08858707764886167,0.0,0.0,0.0,-0.19109916093953813,0.12361741865754529,-0.1904231686302032,-0.03763370959790291,-0.015334710205484867,0.06554051876408837,-1.6283712852667411,1.466572268378748,-2.033903628033587,0.0,0.0,0.0,1.9620000000000002,0.06723919906651646,0.0,0.0,0.5
0.001,0.21840580047134261,1.0,0.0,0.0,0.0,0.994043286441207,-0.009997252586084972,0.09562226874428399,-0.051326224701321456,0.0,0.0,0.0,-0.030241286440278913,0.19022425144414998,-0.1060611949906879,-0.15239476529223756,0.11007140664865125,0.03413296605053909,0.4096340094472508,1.4721597482910749,-1.1630563582285856,0.0,0.0,0.0,1.9620000000000002,0.11058678712661488,8.236685358965482e-11,9.145308942138607e-11,0.4999999999999968
0.002,0.1581612168062059,1.0,0.0,0.0,0.0,0.9968747579016761,0.009765537286779315,0.07576421904183797,0.020127952030834482,0.0,0.0,0.0,0.02278198848546266,0.1512376340832568,0.04210273407633191,-0.16154118715553634,0.3421165749376495,0.025280540173229647,0.8414754943577316,0.14681808108616123,0.30143687992377105,0.0,0.0,0.0,1.9620000000000002,0.21056650662707382,1.2015536833417308e-09,1.1452540531767493e-09,0.4999999999998473
0.003,0.27767960619641247,1.0,0.0,0.0,0.0,0.9903772272221555,0.003159159684801861,-0.10000550722742656,-0.09561310597416055,0.0,0.0,0.0,0.025893974396134653,-0.19878891327935344,-0.19507004674375641,0.20518290067636155,0.45560547815022856,-0.06203026875114507,-0.757548409009409,-3.8225320571494454,-1.6641410444786306,0.0,0.0,0.0,1.9620000000000002,0.04543621607541932,6.177860737546773e-09,4.2397150112691956e-09,0.49999999999860284
0.004,0.25914905855000236,1.0,0.0,0.0,0.0,0.9916169594968569,-0.09996714480675059,-0.004003615721306297,0.081770084129534,0.0,0.0,0.0,-0.20025579114918696,0.008408636273614269,0.16370565291760372,0.14825089918109963,0.251230627581534,0.005580776165786859,-2.59234649285941,-1.084994824752262,1.6130785779275327,0.0,0.0,0.0,1.962001191931804,0.056590246635527475,1.8993727225305536e-08,8.922141138200131e-09,0.49999999999397
0.005,0.1706551654839085,1.0,0.0,0.0,0.0,0.9963618100255568,0.08469176443217391,-0.0058248627356662615,0.007517947464051823,0.0,0.0,0.0,0.16950421716111447,-0.01288111423764995,0.01399617372491722,-0.18103353524116716,0.12106053722731398,0.0681717938148093,2.4179694296081466,-0.6007394036225812,-0.12232822597820073,0.0,0.0,0.0,1.962001191931804,0.0689373051934732,4.255405459944568e-08,1.3975993517526996e-08,0.4999999999868189
0.006,0.1640750070325115,1.0,0.0,0.0,0.0,0.9966368108744744,0.04694532513954065,-0.06714101033969445,-0.001813391315986622,0.0,0.0,0.0,0.09480979230479915,-0.1340613520582143,-0.010008467488580388,0.1410112232577988,0.07815037027101585,-0.08188988996902705,0.3748616097596178,-1.6554216878779524,0.2912917335563757,0.0,0.0,0.0,1.962001191931804,0.10249882485306674,7.818466657760524e-08,1.927771700890405e-08,0.49999999997819067
0.007,0.17314030739461683,1.0,0.0,0.0,0.0,0.9962551439058716,-0.0344124751499717,-0.054317088134503026,0.05780245437463771,0.0,0.0,0.0,-0.07532780786907746,-0.10443886307843153,0.11984852706348476,0.26828395289522844,-0.2853704123586438,-0.09568437213479154,-1.7613853145803477,0.055139886744514754,1.5387865760319204,0.0,0.0,0.0,1.962001191931804,0.11456028904794907,1.2629211285934424e-07,2.4372626711871317e-08,0.4999999999675682
0.008,0.19533556207260816,1.0,0.0,0.0,0.0,0.9952342924198316,-0.06725039098035432,-0.07041498885247355,0.005274225013488454,0.0,0.0,0.0,-0.1363528338481142,-0.13990539620026868,0.020167456303069025,-0.1293422131836594,-0.3260373814457989,0.017149283507495474,-0.8276389668724489,-0.1041502512662753,0.03688736623978718,0.0,0.0,0.0,1.9620009340758624,0.22333551486311073,1.8573108572026544e-07,2.769892345938998e-08,0.49999999995614486
0.009000000000000001,0.18741810362517988,1.0,0.0,0.0,0.0,0.9956125188949678,-0.0639966581423577,0.04127090187119587,0.05437694939002735,0.0,0.0,0.0,-0.12375036563632429,0.08925801167044942,0.10359116311111789,-0.34196189805694477,-0.19995319474648796,0.08629492014375537,0.08791442938062488,1.6252308164098692,0.7423593072255256,0.0,0.0,0.0,1.9620009340758624,0.1214734274798068,2.542902056074499e-07,2.903597475898826e-08,0.49999999994544136
0.01,0.17337924383503553,1.0,0.0,0.0,0.0,0.9962448073275777,0.004020206195873776,-0.08487479820473161,0.016624994577030285,0.0,0.0,0.0,0.00526409749775594,-0.1700644054853104,0.03292352153747991,-0.3505386981399964,-0.06931336821170257,0.031095814257146522,1.482558916477461,-1.4202424912478218,0.20811663451201962,0.0,0.0,0.0,1.9620009340758624,0.07168992829584635,3.297121595801625e-07,3.0794876388717156e-08,0.49999999993686456
0.011000000000000001,0.19502529619698078,1.0,0.0,0.0,0.0,0.9952494078569593,-0.059714353539115056,-0.07105686614708796,-0.02938935036934547,0.0,0.0,0.0,-0.11616992809019171,-0.14546096307753129,-0.0505686044866888,-0.263168326256729,-0.05413050128891218,-0.06112696785802807,-0.1416137657553851,-1.2046153177861105,-0.3432791359547971,0.0,0.0,0.0,1.9620009340758624,0.15458113876834317,4.1098394903835235e-07,3.6481371897569775e-08,0.4999999999303328
0.012,0.23974824266333755,1.0,0.0,0.0,0.0,0.9928236972013186,0.08185019241477988,-0.06074774829829011,0.06254089345264538,0.0,0.0,0.0,0.15691414597741032,-0.1312379796863615,0.11548718422542542,-0.2610686550644611,-0.4244719635350539,0.034805490676018104,2.681278468553442,0.48293288817441327,1.111595906348835,0.0,0.0,0.0,1.9620008708986485,0.06576729384194867,4.974170768825243e-07,4.8842905228707765e-08,0.49999999992477756
0.013000000000000001,0.23776006192820726,1.0,0.0,0.0,0.0,0.9929420871361384,0.02254330710402861,0.10492757700075044,0.05047786131854462,0.0,0.0,0.0,0.0566062743459002,0.20758580647436198,0.10748394965221238,0.0041841981466423095,-0.4345389407300824,0.030756072693946666,0.43412934949400295,3.8367073029353387,0.8865329355951056,0.0,0.0,0.0,1.9620008708986485,0.04872619465733473,5.864046856464135e-07,6.996505640121317e-08,0.49999999991933286
0.014,0.1142738285338551,1.0,0.0,0.0,0.0,0.9983681305402579,-0.04560674903950826,-0.03132622113154205,0.014133939055187448,0.0,0.0,0.0,-0.09225400645983665,-0.061299378319178796,0.03114263984354405,0.13789298447428422,-0.053620785483350475,0.07163061697974715,-1.463706918687302,-0.41204128069743906,-0.0038436868152396664,0.0,0.0,0.0,1.9620008708986485,0.11094325887888937,6.745067260966509e-07,1.0068966526942176e-07,0.4999999999134248
0.015000000000000001,0.23984234073369892,1.0,0.0,0.0,0.0,0.9928180696385291,-0.008439240028572745,0.06247729380027269,-0.10167422282151645,0.0,0.0,0.0,-0.0296892715487256,0.12264832678729293,-0.20593097398591503,-0.22263692361453893,-0.18110573061701785,-0.07552032317800363,0.7217628938867009,1.9739687984735252,-1.7314031637183143,0.0,0.0,0.0,1.9620008708986485,0.07719671014208028,7.597564232021411e-07,1.4072889884834046e-07,0.4999999999070225
0.016,0.20714774194930252,1.0,0.0,0.0,0.0,0.99464101992217,-0.05441045550178777,-0.04115743432213221,0.07768403581362558,0.0,0.0,0.0,-0.11519712705823887,-0.0734862198466386,0.160128000868492,-0.1270899354933102,0.07090239000308368,0.042838511616195354,-0.5798493680625145,-1.1067582464549788,1.3823266698077303,0.0,0.0,0.0,1.9620014538371127,0.12338476247508645,8.411720880141612e-07,1.9074578677561642e-07,0.4999999998991361
0.017,0.16736263897195314,1.0,0.0,0.0,0.0,0.9965007610698486,-0.016743135627193633,-0.06809026710647895,-0.04549303377386806,0.0,0.0,0.0,-0.02743680268897283,-0.13766178566142886,-0.08935060867232707,-0.2296150756361672,-0.1114667216066061,0.0004696376057714627,0.5835975900007961,-0.9159384557031545,-0.9117392259004471,0.0,0.0,0.0,1.9620014538371127,0.13877737751093583,9.185913341003879e-07,2.5206624540407806e-07,0.49999999988993177
0.018000000000000002,0.17958728317858016,1.0,0.0,0.0,0.0,0.9959712590007093,0.06489623677974707,0.04705285044251553,0.04019650434556851,0.0,0.0,0.0,0.13397698661231044,0.08862534134347116,0.08662406985824556,-0.12713730642426713,-0.282091294103206,0.10282300318701873,1.80647396129201,2.0694221852631345,0.3926380741632953,0.0,0.0,0.0,1.9620014538371127,0.05369124249907254,9.916707755357832e-07,3.262038099801347e-07,0.49999999987862465
0.019,0.1505127522611272,1.0,0.0,0.0,0.0,0.9971695751520308,-0.05435442051059658,-0.048612042641491354,-0.01831132633911075,0.0,0.0,0.0,-0.10735264725891842,-0.0991016383320472,-0.03139360161359804,0.14178223523291894,-0.10689165471921938,0.030704194204176853,-1.6542173511436074,-0.5446742339529496,-0.48904330359892245,0.0,0.0,0.0,1.9620014538371127,0.09463935435305919,1.0584154191236027e-06,4.144143540137431e-07,0.4999999998623903
0.02,0.20383894337468428,1.0,0.0,0.0,0.0,0.9948107049970318,0.003330091720333577,0.06297434502015256,0.07984236708493578,0.0,0.0,0.0,0.016813823670060592,0.12508930421457143,0.16122738933647532,-0.1618874161536445,-0.1545938548235416,-0.009146539705821098,0.7141514990212495,1.8778623196972175,1.6334335005219998,0.0,0.0,0.0,1.962003292069249,0.0802857891331626,1.1167487850448223e-06,5.168800493474352e-07,0.4999999998394603
0.021,0.22103785909759566,1.0,0.0,0.0,0.0,0.9938989969249719,-0.004062648865655082,0.0667331178372683,-0.08772097684959064,0.0,0.0,0.0,-0.019959315545275674,0.13232502737646523,-0.1773852140382769,-0.11101346709773689,-0.03618373160086673,0.11494631207392694,0.36280089107784597,1.4793972831488331,-2.2142047852875204,0.0,0.0,0.0,1.962003292069249,0.11296389161129843,1.164981369643466e-06,6.342521756450782e-07,0.49999999981249954
0.022000000000000002,0.17422206462891027,1.0,0.0,0.0,0.0,0.996208232700327,-0.04940971597532671,0.06777261474583376,0.02312379202988715,0.0,0.0,0.0,-0.09637100156469995,0.13775159127512077,0.03976200584407922,-0.08065686326545067,0.3288602210418685,0.02428230971484309,-0.6655668664447314,0.040011410749201115,0.36534660173837064,0.0,0.0,0.0,1.962003292069249,0.2949380410455527,1.2024128183120878e-06,7.676672309525305e-07,0.4999999997829246
0.023,0.08312946768662142,1.0,0.0,0.0,0.0,0.999136310805414,-0.02200554483480314,-0.03502214731557075,-0.0039796512507141064,0.0,0.0,0.0,-0.04381628123119627,-0.07021663175523134,-0.006426946528607442,-0.34900311722256483,0.26982207307774086,0.134454236859251,0.9559015721941965,-1.7797312386223783,-0.6174099724512861,0.0,0.0,0.0,1.962003292069249,0.07607083598977483,1.230531652597934e-06,9.178281382417754e-07,0.49999999975103854
