t,object
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.23,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.24,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.25,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
694.26,bldg_6
